,enwiki,frwiki,dewiki,eswiki,itwiki,ruwiki,ptwiki,nlwiki,jawiki,plwiki,ukwiki,svwiki,fawiki,kowiki,fiwiki,cswiki,zhwiki,cawiki,commonswiki,arwiki
enwiki,1.0,0.6159037507658928,0.5219942318238466,0.6690775818177724,0.6027640195979249,0.5600636808917975,0.6340907898940724,0.47565079760736956,0.5234315261643434,0.5383728728870487,0.5229120909781657,0.5572527840359986,0.5002996937325913,0.5023581399322758,0.5905478201967297,0.4776068287492502,0.595625380430643,0.5430295081525233,0.27007390687510585,0.5185018361420755
frwiki,0.6159037507658928,1.0,0.5060166069712962,0.5660954640456993,0.5800393227796509,0.4779704815659343,0.5208047775977618,0.44554065169442547,0.46052294865473564,0.5129774717149975,0.4232701957594428,0.44343709653586666,0.42579331466616743,0.4500560651981204,0.5452279548003351,0.44110372340862875,0.5208757573832102,0.5480682214717233,0.294438018143651,0.44840124103603207
dewiki,0.5219942318238466,0.5060166069712962,1.0,0.48247356317900864,0.5020363184944204,0.427273949320225,0.49596870594413683,0.4568629238294888,0.38817519331093703,0.47711357468723564,0.4218261244029206,0.4435423956996665,0.382116765309637,0.38699705720689337,0.48690345147189495,0.4257368905608355,0.41974239624184745,0.4685446738120882,0.34805201151910553,0.4026665662800227
eswiki,0.6690775818177724,0.5660954640456993,0.48247356317900864,1.0,0.567574217941588,0.49432857992149787,0.6012076918042534,0.4318564540839921,0.49881041287028344,0.512125842823515,0.4663762110277301,0.4991806770697739,0.44606753805598437,0.5098924616691992,0.5711576682189669,0.4954569245744558,0.520519201851157,0.5718861365070652,0.26838418381622375,0.4482992359411535
itwiki,0.6027640195979249,0.5800393227796509,0.5020363184944204,0.567574217941588,1.0,0.4945722096129251,0.5744166327036737,0.43003647024538666,0.43773475580819443,0.5411841362120502,0.42933924712648186,0.4779434864980429,0.43844155758470127,0.5060364973403322,0.5817728141565872,0.47450945489907326,0.5077789500341907,0.483282414802924,0.3296232250243397,0.4374114442566018
ruwiki,0.5600636808917975,0.4779704815659343,0.427273949320225,0.49432857992149787,0.4945722096129251,1.0,0.4847178028442154,0.37821597860135703,0.38302482270802396,0.48740559910481757,0.5101626114460416,0.4749354454471343,0.383485505229469,0.3801375542865501,0.48094511948443214,0.4062525208865009,0.45188443305065823,0.4632583126836054,0.20842583894110067,0.34151724722247223
ptwiki,0.6340907898940724,0.5208047775977618,0.49596870594413683,0.6012076918042534,0.5744166327036737,0.4847178028442154,1.0,0.47516432693111554,0.4763259716847385,0.5397888548177993,0.4373705505327704,0.4813675778618967,0.44822246438091595,0.48448712463971827,0.576850699264723,0.4497498218941196,0.5447563557751482,0.5137956595469354,0.2834952441684393,0.4448310020941672
nlwiki,0.47565079760736956,0.44554065169442547,0.4568629238294888,0.4318564540839921,0.43003647024538666,0.37821597860135703,0.47516432693111554,1.0,0.34239680637875275,0.4157388253380831,0.3393584140634641,0.37773565614787297,0.31448966830507735,0.341206830524853,0.43824861543346255,0.34615464704801696,0.3443535618849633,0.366555534800891,0.24035108307063516,0.30212288333383386
jawiki,0.5234315261643434,0.46052294865473564,0.38817519331093703,0.49881041287028344,0.43773475580819443,0.38302482270802396,0.4763259716847385,0.34239680637875275,1.0,0.4174821966166141,0.3574491778413268,0.37704554038104654,0.3795600035185619,0.4562966540644207,0.4483075065755308,0.37318857238245584,0.4961187685894751,0.45557730768153365,0.20294312658968935,0.3442415156529342
plwiki,0.5383728728870487,0.5129774717149975,0.47711357468723564,0.512125842823515,0.5411841362120502,0.48740559910481757,0.5397888548177993,0.4157388253380831,0.4174821966166141,1.0,0.44835937539463083,0.469137515277741,0.44906946380366397,0.408446192375346,0.5934914179156544,0.44275493855995085,0.4749445763505533,0.43914250275917566,0.2730540524752268,0.3904234969443622
ukwiki,0.5229120909781657,0.4232701957594428,0.4218261244029206,0.4663762110277301,0.42933924712648186,0.5101626114460416,0.4373705505327704,0.3393584140634641,0.3574491778413268,0.44835937539463083,1.0,0.46182497031907355,0.3699109008975536,0.37483779557767594,0.443180391340481,0.35100581891324445,0.38715521573983147,0.426869683021363,0.24118431182454753,0.34813867164077045
svwiki,0.5572527840359986,0.44343709653586666,0.4435423956996665,0.4991806770697739,0.4779434864980429,0.4749354454471343,0.4813675778618967,0.37773565614787297,0.37704554038104654,0.469137515277741,0.46182497031907355,1.0,0.4063173713997461,0.4522882338251519,0.5287841283289231,0.39406804989926725,0.4487393457348891,0.47278246929692047,0.2517287158836165,0.42571553873479534
fawiki,0.5002996937325913,0.42579331466616743,0.382116765309637,0.44606753805598437,0.43844155758470127,0.383485505229469,0.44822246438091595,0.31448966830507735,0.3795600035185619,0.44906946380366397,0.3699109008975536,0.4063173713997461,1.0,0.36955284631047786,0.4665171219239085,0.3491266792500271,0.45711837794224647,0.4282008225431651,0.21141058574327437,0.45947361537389636
kowiki,0.5023581399322758,0.4500560651981204,0.38699705720689337,0.5098924616691992,0.5060364973403322,0.3801375542865501,0.48448712463971827,0.341206830524853,0.4562966540644207,0.408446192375346,0.37483779557767594,0.4522882338251519,0.36955284631047786,1.0,0.5130429523619117,0.39573311691092844,0.5091165649604643,0.41036120170576895,0.2309151767808962,0.3955298640217611
fiwiki,0.5905478201967297,0.5452279548003351,0.48690345147189495,0.5711576682189669,0.5817728141565872,0.48094511948443214,0.576850699264723,0.43824861543346255,0.4483075065755308,0.5934914179156544,0.443180391340481,0.5287841283289231,0.4665171219239085,0.5130429523619117,1.0,0.45376997025655624,0.5417657213971533,0.47856735429163155,0.25346801869227986,0.4676750074634473
cswiki,0.4776068287492502,0.44110372340862875,0.4257368905608355,0.4954569245744558,0.47450945489907326,0.4062525208865009,0.4497498218941196,0.34615464704801696,0.37318857238245584,0.44275493855995085,0.35100581891324445,0.39406804989926725,0.3491266792500271,0.39573311691092844,0.45376997025655624,1.0,0.39773658343228946,0.4022325576698012,0.2510758569456025,0.34756222627066863
zhwiki,0.595625380430643,0.5208757573832102,0.41974239624184745,0.520519201851157,0.5077789500341907,0.45188443305065823,0.5447563557751482,0.3443535618849633,0.4961187685894751,0.4749445763505533,0.38715521573983147,0.4487393457348891,0.45711837794224647,0.5091165649604643,0.5417657213971533,0.39773658343228946,1.0,0.4734580945159992,0.22504262009097858,0.3903172389892468
cawiki,0.5430295081525233,0.5480682214717233,0.4685446738120882,0.5718861365070652,0.483282414802924,0.4632583126836054,0.5137956595469354,0.366555534800891,0.45557730768153365,0.43914250275917566,0.426869683021363,0.47278246929692047,0.4282008225431651,0.41036120170576895,0.47856735429163155,0.4022325576698012,0.4734580945159992,1.0,0.2921751268196718,0.4164808673122664
commonswiki,0.27007390687510585,0.294438018143651,0.34805201151910553,0.26838418381622375,0.3296232250243397,0.20842583894110067,0.2834952441684393,0.24035108307063516,0.20294312658968935,0.2730540524752268,0.24118431182454753,0.2517287158836165,0.21141058574327437,0.2309151767808962,0.25346801869227986,0.2510758569456025,0.22504262009097858,0.2921751268196718,1.0,0.17798747743019996
arwiki,0.5185018361420755,0.44840124103603207,0.4026665662800227,0.4482992359411535,0.4374114442566018,0.34151724722247223,0.4448310020941672,0.30212288333383386,0.3442415156529342,0.3904234969443622,0.34813867164077045,0.42571553873479534,0.45947361537389636,0.3955298640217611,0.4676750074634473,0.34756222627066863,0.3903172389892468,0.4164808673122664,0.17798747743019996,1.0
