,enwiki,frwiki,dewiki,eswiki,itwiki,ptwiki,commonswiki,ruwiki,nlwiki,jawiki,ukwiki,fiwiki,cswiki,plwiki,fawiki,kowiki,arwiki,zhwiki,svwiki,cawiki
enwiki,1.0,0.6159110895521993,0.5220167397313598,0.669090916589282,0.6027983894139536,0.6341223721210206,0.270077307196187,0.5600599118992585,0.475641035931851,0.5234432437489536,0.5229009456413026,0.5905558007403903,0.4776017061707758,0.5383672398255808,0.5022756592712764,0.5023603018416729,0.5185037707935841,0.5956398404011464,0.5572419296207506,0.5430319709219512
frwiki,0.6159110895521992,1.0,0.47212219382148907,0.5314386864785129,0.5459364305494491,0.4867842876609601,0.27557625617334675,0.4385777696879058,0.4069859848464166,0.4215224766349218,0.3796977368145652,0.513945993517469,0.40218786765551406,0.47773181387564706,0.39591047718863726,0.4188588424124116,0.42024176376019795,0.49425257787439225,0.4084216613576892,0.5126843713191355
dewiki,0.5220167397313599,0.472122193821489,1.0,0.4432559571870503,0.4615724301317682,0.45984272891746647,0.3290802923365249,0.38059729449605345,0.414224111885139,0.3411998784649674,0.3749243643813274,0.4468845785560359,0.38014425899403825,0.43494536643666026,0.34686133788401463,0.3495193010619096,0.3697050522250517,0.3847225228784668,0.403938388483015,0.4244222832025958
eswiki,0.669090916589282,0.5314386864785129,0.44325595718705035,1.0,0.524483283424364,0.5622278335205466,0.24352959885039718,0.44543355185909816,0.3806054162644075,0.44841099239728,0.410909443646526,0.5305909909332664,0.44750801033183085,0.46513677520191893,0.4067978296981263,0.4716578038443931,0.4096500350644517,0.48369738668455214,0.45780015328966017,0.522384485609585
itwiki,0.6027983894139536,0.5459364305494491,0.46157243013176813,0.5244832834243641,1.0,0.5316004782450868,0.30569930178245613,0.44296232127810137,0.37490857286163387,0.37966393197987863,0.3669676738097737,0.5374338542342731,0.4188941903509512,0.4933527648848448,0.39264909140009974,0.4637985711380284,0.39573254977309635,0.4667928857289991,0.4304715370374876,0.4225899836620701
ptwiki,0.6341223721210206,0.4867842876609601,0.45984272891746647,0.5622278335205465,0.5316004782450869,1.0,0.25559372134462116,0.4330064395359501,0.4196663400507429,0.41651221042155456,0.3712057039744927,0.5235246357030457,0.38237040817373785,0.4872695233348643,0.39638772192480454,0.43123053333034134,0.39695284609275866,0.500960000414426,0.428584335462688,0.44920777845151194
commonswiki,0.270077307196187,0.2755762561733468,0.32908029233652497,0.24352959885039718,0.30569930178245613,0.25559372134462116,1.0,0.17662683122026854,0.20796040136865435,0.1681090185409973,0.20647784478701392,0.21567449327867222,0.21312780811197846,0.24059955292830465,0.18077714082518265,0.199588679017155,0.14814057409975617,0.1950656507728076,0.2200586665564375,0.25731386074105494
ruwiki,0.5600599118992584,0.4385777696879058,0.3805972944960534,0.4454335518590982,0.4429623212781013,0.4330064395359501,0.17662683122026854,1.0,0.31637255627290517,0.3161272741212283,0.44293911315002105,0.4206870031123704,0.3371412632966077,0.4281949892567519,0.333061851736073,0.3231709370829229,0.288902435894539,0.4033585020086674,0.42341585096672185,0.39958969495134616
nlwiki,0.47564103593185086,0.4069859848464166,0.414224111885139,0.3806054162644075,0.37490857286163387,0.4196663400507429,0.2079604013686544,0.31637255627290517,1.0,0.26836157934794735,0.25991075503342975,0.3643281126308298,0.26306022568579746,0.34837763618717515,0.251505945445263,0.2738844218550433,0.24310612747652993,0.2813279472964509,0.3105849773791837,0.28441027845952294
jawiki,0.5234432437489536,0.4215224766349218,0.3411998784649674,0.44841099239728,0.3796639319798787,0.41651221042155456,0.1681090185409973,0.3161272741212283,0.26836157934794735,1.0,0.2731921648957514,0.37203998853137576,0.28949553703187564,0.3482333316312375,0.31650013656669057,0.38752362758850273,0.28260766180885855,0.43731345988909237,0.308872564456338,0.3797242169158218
ukwiki,0.5229009456413025,0.3796977368145652,0.3749243643813274,0.410909443646526,0.36696767380977363,0.37120570397449276,0.20647784478701395,0.44293911315002105,0.25991075503342975,0.2731921648957514,1.0,0.3603147411551621,0.2510916297486743,0.3728756195935731,0.301731983780295,0.29818898418292966,0.28343828506695906,0.3183103427024475,0.3994544947994919,0.3410602012112781
fiwiki,0.5905558007403903,0.513945993517469,0.4468845785560359,0.5305909909332664,0.5374338542342731,0.5235246357030457,0.21567449327867222,0.42068700311237034,0.3643281126308298,0.3720399885313758,0.36031474115516204,1.0,0.36169041845660693,0.5362669062677066,0.403832983065205,0.44836272996715193,0.4118755440564274,0.4872881767257766,0.46480777566336273,0.3927951679191284
cswiki,0.4776017061707758,0.4021878676555141,0.38014425899403825,0.44750801033183085,0.4188941903509512,0.38237040817373785,0.21312780811197846,0.33714126329660765,0.26306022568579746,0.28949553703187564,0.2510916297486743,0.3616904184566069,1.0,0.36339954221178045,0.2748292716001193,0.31904999643522236,0.2805050006148162,0.32854904183237915,0.316488037703531,0.3056831713538464
plwiki,0.5383672398255808,0.47773181387564706,0.43494536643666026,0.46513677520191893,0.49335276488484475,0.48726952333486423,0.24059955292830465,0.4281949892567519,0.3483776361871752,0.3482333316312375,0.3728756195935731,0.5362669062677066,0.36339954221178045,1.0,0.3948072937712732,0.3449878386018757,0.3362191199377782,0.4221790471312736,0.4088582800348245,0.36160538174667617
fawiki,0.5022756592712764,0.39591047718863726,0.34686133788401463,0.4067978296981262,0.39264909140009974,0.3963877219248046,0.18077714082518265,0.333061851736073,0.251505945445263,0.31650013656669057,0.3017319837802949,0.40383298306520504,0.27482927160011933,0.3948072937712732,1.0,0.3058316652922947,0.4150331692722673,0.40699526302949646,0.35320165704632744,0.3632769102725065
kowiki,0.5023603018416729,0.41885884241241167,0.34951930106190965,0.4716578038443931,0.46379857113802847,0.4312305333303413,0.199588679017155,0.3231709370829229,0.27388442185504336,0.38752362758850273,0.2981889841829297,0.44836272996715193,0.31904999643522236,0.3449878386018757,0.3058316652922947,1.0,0.3403327108602861,0.45483649664640574,0.39673812218629845,0.335413613186882
arwiki,0.5185037707935841,0.42024176376019795,0.36970505222505173,0.4096500350644517,0.3957325497730963,0.3969528460927587,0.14814057409975617,0.288902435894539,0.2431061274765299,0.28260766180885855,0.28343828506695906,0.4118755440564274,0.28050500061481615,0.33621911993777825,0.4150331692722673,0.3403327108602861,1.0,0.33852078429771204,0.3763487157359632,0.3546709371557023
zhwiki,0.5956398404011463,0.49425257787439225,0.38472252287846687,0.48369738668455214,0.466792885728999,0.5009600004144261,0.1950656507728076,0.40335850200866746,0.2813279472964509,0.43731345988909237,0.3183103427024475,0.48728817672577657,0.3285490418323791,0.4221790471312735,0.40699526302949646,0.4548364966464058,0.33852078429771204,1.0,0.3965935818380804,0.4115080643621395
svwiki,0.5572419296207506,0.4084216613576892,0.40393838848301494,0.45780015328966017,0.4304715370374876,0.4285843354626879,0.2200586665564375,0.42341585096672185,0.3105849773791837,0.308872564456338,0.3994544947994919,0.46480777566336273,0.31648803770353096,0.4088582800348245,0.35320165704632744,0.39673812218629845,0.3763487157359632,0.3965935818380804,1.0,0.4061992391246473
cawiki,0.5430319709219512,0.5126843713191355,0.42442228320259584,0.522384485609585,0.42258998366207007,0.44920777845151194,0.2573138607410549,0.39958969495134616,0.284410278459523,0.3797242169158218,0.34106020121127817,0.39279516791912844,0.3056831713538464,0.3616053817466762,0.3632769102725065,0.335413613186882,0.3546709371557023,0.4115080643621395,0.4061992391246473,1.0
